species	lmax	amax
Lepidopus caudatus	NA	NA
Lepidorhombus boscii	35	NA
Lepidorhombus whiffiagonis	47	NA
Lepidotrigla cavillone	16	NA
Lepisosteus osseus	NA	NA
Lepomis gibbosus	30	NA
Lepomis macrochirus	NA	NA
Lepomis megalotis	NA	NA
Leptoscarus vaigiensis	NA	NA
Lepturacanthus savala	NA	NA
Lestidium ringens	NA	NA
Lesueurigobius friesii	9	NA
Lethrinops longipinnis	22.6	NA
Lethrinops parvidens	20.4	NA
Lethrinus atkinsoni	NA	NA
Lethrinus enigmaticus	49	NA
Lethrinus erythracanthus	NA	NA
Lethrinus genivittatus	NA	NA
Lethrinus harak	NA	NA
Lethrinus lentjan	50.5	NA
Lethrinus mahsena	NA	NA
Lethrinus microdon	NA	NA
Lethrinus miniatus	90	NA
Lethrinus nebulosus	77.4	20
Lethrinus obsoletus	NA	NA
Lethrinus olivaceus	85	NA
Lethrinus ornatus	NA	NA
Lethrinus rubrioperculatus	NA	NA
Lethrinus semicinctus	NA	NA
Lethrinus variegatus	NA	NA
Lethrinus xanthochilus	NA	NA
Leuciscus cephalus	NA	NA
Leucoraja erinacea	54	NA
Leucoraja naevus	NA	NA
Leuresthes tenuis	NA	3
Lile stolifera	NA	NA
Limanda aspera	NA	NA
Limanda ferruginea	NA	NA
Limanda limanda	NA	NA
Limnothrissa miodon	10	NA
Liparis inquilinus	NA	NA
Liparis pulchellus	NA	NA
Lipophrys pholis	NA	6
Lithognathus aureti	80	NA
Lithognathus lithognathus	NA	NA
Lithognathus mormyrus	NA	NA
Liza aurata	NA	NA
Liza grandisquamis	46	NA
Liza macrolepis	NA	NA
Liza parsia	NA	NA
Liza ramada	NA	NA
Liza saliens	NA	NA
Liza subviridis	NA	NA
Liza tade	NA	NA
Lobianchia dofleini	NA	NA
Lophius americanus	101	NA
Lophius budegassa	51	NA
Lophius piscatorius	90	NA
Lophius vomerinus	NA	NA
Lopholatilus chamaeleonticeps	103.5	30.5
Lota lota	NA	NA
Lumpenus lampretaeformis	34.5	NA
Lutjanus adetii	NA	24
Lutjanus analis	NA	NA
Lutjanus apodus	54	NA
Lutjanus argentimaculatus	150	NA
Lutjanus argentiventris	NA	NA
Lutjanus bohar	NA	NA
Lutjanus buccanella	73	NA
Lutjanus campechanus	89	13
Lutjanus carponotatus	NA	NA
Lutjanus cyanopterus	102	NA
Lutjanus erythropterus	72.8	NA
Lutjanus fulviflammus	NA	NA
Lutjanus gibbus	NA	NA
Lutjanus griseus	NA	NA
Lutjanus jocu	NA	NA
Lutjanus johnii	NA	NA
Lutjanus kasmira	40	NA
Lutjanus lutjanus	NA	NA
Lutjanus malabaricus	81.5	10
Lutjanus monostigma	NA	NA
Lutjanus purpureus	NA	NA
Lutjanus quinquelineatus	NA	31
Lutjanus rivulatus	NA	NA
Lutjanus sanguineus	88	NA
Lutjanus sebae	108	NA
Lutjanus synagris	41	6
Lutjanus vitta	NA	NA
Lutjanus vivanus	NA	NA
Lycodes pacificus	NA	NA
Lycodes vahlii	NA	NA
Maccullochella peelii peelii	160	NA
Macquaria ambigua	75	NA
Macquaria novemaculeata	47	NA
Macrodon ancylodon	NA	NA
Macroramphosus gracilis	13.5	NA
Macroramphosus scolopax	17.25	NA
Macruronus magellanicus	115	NA
Macruronus novaezelandiae	122.5	NA
Makaira indica	430	NA
Makaira mazara	NA	NA
Makaira nigricans	400	NA
Mallotus villosus	NA	5
Maravichromis anaphyrmus	20	NA
Marcusenius macrolepidotus	30	NA
Marcusenius monteiri	NA	NA
Maurolicus muelleri	NA	NA
Megalaspis cordyla	50	NA
Megalops atlanticus	205	NA
Melanogrammus aeglefinus	74.5	16
Mene maculata	NA	NA
Menidia extensa	NA	NA
Menidia menidia	NA	NA
Menticirrhus saxatilis	NA	NA
Menticirrhus undulatus	NA	NA
Merlangius merlangus	NA	NA
Merluccius angustimanus	39	7
Merluccius australis	112	NA
Merluccius bilinearis	NA	12
Merluccius capensis	110	NA
Merluccius gayi gayi	NA	NA
Merluccius gayi peruanus	NA	13
Merluccius hubbsi	77	NA
Merluccius merluccius	58	10
Merluccius paradoxus	NA	NA
Merluccius polli	NA	NA
Merluccius productus	NA	NA
Merluccius senegalensis	NA	NA
Micralestes acutidens	NA	NA
Microchirus theophila	32.3	NA
Microgobius thalassinus	NA	NA
Micromesistius australis	NA	30
Micromesistius poutassou	29.5	9
Micrometrus aurora	NA	NA
Micropogonias furnieri	66	NA
Micropogonias undulatus	38.55	NA
Micropterus dolomieui	NA	14
Micropterus salmoides	NA	NA
Microstomus achne	NA	NA
Microstomus kitt	53.1428571428571	NA
Microstomus pacificus	NA	NA
Miichthys miiuy	NA	NA
Mistichthys luzonensis	2	NA
Molva dypterygia	NA	NA
Molva molva	NA	NA
Monocentris reedi	9.9	NA
Monochirus hispidus	13	NA
Mormyrops anguilloides	100	NA
Mormyrus longirostris	80	NA
Mormyrus rume	NA	NA
Morone americana	NA	NA
Morone chrysops	NA	NA
Morone saxatilis	NA	NA
Morulius calbasu	65	NA
Mugil cephalus	78	NA
Mugil curema	29	NA
Mugil gyrans	NA	NA
Mugil hospes	NA	NA
Mugil liza	NA	NA
Mugil soiuy	NA	NA
Mulloidichthys flavolineatus	NA	NA
Mulloidichthys martinicus	NA	NA
Mulloidichthys vanicolensis	NA	NA
Mullus barbatus	21.35	NA
Mullus surmuletus	26	8
Mustelus antarcticus	160	NA
Mustelus californicus	163	NA
Mustelus canis	NA	NA
Mustelus henlei	100	NA
Mustelus lenticulatus	NA	NA
Mustelus manazo	NA	NA
Mycteroperca bonaci	124	NA
Mycteroperca microlepis	107	NA
Mycteroperca olfax	94	NA
Mycteroperca phenax	NA	NA
Mycteroperca tigris	101	NA
Mycteroperca venenosa	88.5	15
Myctophum nitidulum	NA	NA
Myctophum punctatum	NA	NA
Mylopharyngodon piceus	NA	NA
Myoxocephalus octodecemspinosus	NA	NA
Myoxocephalus scorpius	NA	NA
Naso lituratus	NA	NA
Naso unicornis	NA	NA
Naucrates ductor	34	NA
Negaprion brevirostris	NA	NA
Nemadactylus macropterus	47.5	50
Nematalosa vlaminghi	36	NA
Nemichthys scolopaceus	NA	NA
Nemipterus bathybius	NA	NA
Nemipterus bipunctatus	NA	NA
Nemipterus furcosus	NA	NA
Nemipterus hexodon	NA	NA
Nemipterus japonicus	29.9142857142857	3.3
Nemipterus marginatus	23	NA
Nemipterus mesoprion	NA	NA
Nemipterus nematophorus	NA	NA
Nemipterus nemurus	NA	NA
Nemipterus peronii	NA	NA
Nemipterus randalli	21	NA
Nemipterus thosaporni	23	5
Nemipterus virgatus	NA	NA
Neobola stellae	NA	NA
Nerophis ophidion	29	NA
Nezumia sclerorhynchus	NA	NA
Nezumia stelgidolepis	NA	NA
Nibea maculata	NA	NA
Notolabrus celidotus	NA	NA
Notolabrus fucicola	NA	NA
Notolychnus valdiviae	NA	NA
Notoscopelus elongatus	NA	NA
Notothenia coriiceps	NA	18
Notothenia cyanobrancha	NA	NA
Notothenia rossii	90	NA
Notropis atherinoides	NA	NA
Ocyurus chrysurus	60.15	14
Odontesthes regia	NA	NA
Okamejei hollandi	NA	NA
Oligocottus maculosus	NA	NA
Oncorhynchus keta	NA	5
Oncorhynchus kisutch	98	NA
Oncorhynchus masou masou	25.5	NA
Oncorhynchus nerka	NA	NA
Oneirodes acanthias	NA	NA
Ophichthus zophochir	NA	NA
Ophiodon elongatus	NA	NA
Opisthonema libertate	NA	NA
Opisthonema oglinum	30	NA
Opsanus tau	NA	NA
Oreochromis andersonii	NA	NA
Oreochromis aureus	NA	NA
Oreochromis esculentus	NA	NA
Oreochromis karongae	34	NA
Oreochromis leucostictus	NA	NA
Oreochromis lidole	38	NA
Oreochromis macrochir macrochir	40.2	NA
Oreochromis mortimeri	48	NA
Oreochromis mossambicus	33.2857142857143	NA
Oreochromis niloticus niloticus	52	NA
Oreochromis saka	NA	NA
Oreochromis shiranus shiranus	NA	NA
Oreochromis squamipinnis	33	NA
Oreochromis variabilis	NA	NA
Osmerus eperlanus	32	NA
Osmerus mordax mordax	NA	NA
Osteochilus hasseltii	25	NA
Otolithes cuvieri	NA	NA
